World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
375 Top 1.9%,East China University of Science and Technology,China,47,-,1470,-,339,75.7
376 Top 1.9%,Federal University of Rio de Janeiro,Brazil,3,474,474,-,351,75.7
377 Top 1.9%,University of Otago,New Zealand,2,-,933,-,342,75.7
378 Top 1.9%,Griffith University,Australia,14,-,1439,-,341,75.7
379 Top 1.9%,Kyung Hee University,South Korea,7,-,922,-,347,75.7
380 Top 1.9%,University of Wollongong,Australia,15,-,704,-,353,75.7
381 Top 1.9%,Albert Einstein College of Medicine,USA,109,-,-,-,348,75.7
382 Top 1.9%,University of Buenos Aires,Argentina,1,321,1450,-,352,75.7
383 Top 1.9%,Jagiellonian University,Poland,1,-,-,-,349,75.6
384 Top 1.9%,Louisiana State University,USA,110,465,277,-,375,75.6
385 Top 1.9%,Technical University of Berlin,Germany,28,189,636,-,368,75.6
386 Top 1.9%,University of Parma,Italy,14,301,1056,93,530,75.6
387 Top 1.9%,University of Turku,Finland,3,-,1629,-,355,75.6
388 Top 1.9%,University of Malaya,Malaysia,1,-,563,-,364,75.6
389 Top 1.9%,University of Marburg,Germany,29,187,1635,185,452,75.6
390 Top 1.9%,Pontifical Catholic University of Chile,Chile,1,525,209,-,400,75.5
391 Top 2%,Pohang University of Science and Technology,South Korea,8,-,-,-,362,75.5
392 Top 2%,Chalmers University of Technology,Sweden,9,521,249,-,390,75.5
393 Top 2%,Justus Liebig University Giessen,Germany,30,-,-,-,363,75.5
394 Top 2%,University of Saskatchewan,Canada,16,294,575,-,376,75.5
395 Top 2%,University of Newcastle,Australia,16,-,1313,-,365,75.5
396 Top 2%,University of Perugia,Italy,15,-,-,-,367,75.5
397 Top 2%,University of Tasmania,Australia,17,-,-,-,371,75.5
398 Top 2%,University Paris-Est Créteil,France,21,-,989,-,374,75.4
399 Top 2%,Nanjing Agricultural University,China,48,-,1281,-,373,75.4
400 Top 2%,Nanjing Medical University,China,49,-,-,-,372,75.4
401 Top 2%,University of Innsbruck,Austria,3,468,770,252,420,75.4
402 Top 2%,Pompeu Fabra University,Spain,9,-,1147,-,377,75.4
403 Top 2%,Swedish University of Agricultural Sciences,Sweden,10,290,1183,-,380,75.4
404 Top 2%,University of Victoria,Canada,17,-,1314,-,378,75.4
405 Top 2%,"University of Oklahoma, Norman",USA,111,-,413,-,392,75.4
406 Top 2%,International Institute for Management Development,Switzerland,8,-,10,-,-,75.3
407 Top 2%,Medical University of South Carolina,USA,112,-,-,-,379,75.3
408 Top 2%,City College of New York,USA,113,23,533,-,850,75.3
409 Top 2%,University of Warsaw,Poland,2,506,837,-,383,75.3
410 Top 2%,University of Seville,Spain,10,-,1701,-,382,75.3
411 Top 2.1%,Shanghai University,China,50,-,1054,-,384,75.3
412 Top 2.1%,Nanjing University of Science and Technology,China,51,-,639,-,393,75.3
413 Top 2.1%,National Research Center «Kurchatov Institute»,Russia,3,-,-,-,385,75.3
414 Top 2.1%,Kyungpook National University,South Korea,9,-,1026,-,386,75.2
415 Top 2.1%,University of Bari,Italy,16,-,1683,-,387,75.2
416 Top 2.1%,University of Regensburg,Germany,31,-,1013,-,391,75.2
417 Top 2.1%,University of Ulsan,South Korea,10,-,732,-,399,75.2
418 Top 2.1%,Northwest A&F University,China,52,-,1644,-,394,75.2
419 Top 2.1%,Indian Institute of Management Ahmedabad,India,1,375,11,-,-,75.2
420 Top 2.1%,University of Coimbra,Portugal,3,426,1347,-,395,75.2
421 Top 2.1%,University of Oregon,USA,114,161,-,-,415,75.2
422 Top 2.1%,Beijing University of Chemical Technology,China,53,-,1315,-,398,75.1
423 Top 2.1%,National Tsing Hua University,Taiwan,4,387,815,-,410,75.1
424 Top 2.1%,São Paulo State University,Brazil,4,-,-,-,402,75.1
425 Top 2.1%,"University at Albany, SUNY",USA,115,214,731,215,482,75.1
426 Top 2.1%,University of Rennes 1,France,22,-,-,-,403,75.1
427 Top 2.1%,Catholic University of the Sacred Heart,Italy,17,-,1346,-,404,75.1
428 Top 2.1%,University of Ljubljana,Slovenia,1,-,-,-,405,75.1
429 Top 2.1%,Aristotle University of Thessaloniki,Greece,2,-,1499,-,406,75.1
430 Top 2.1%,University of Côte d'Azur,France,23,-,-,-,408,75.1
431 Top 2.1%,Southern University of Science and Technology,China,54,-,-,-,409,75.0
432 Top 2.2%,Tampere University,Finland,4,-,597,-,412,75.0
433 Top 2.2%,Huazhong Agricultural University,China,55,-,1340,-,411,75.0
434 Top 2.2%,Jinan University,China,56,-,626,-,413,75.0
435 Top 2.2%,University of Texas at Dallas,USA,116,385,615,-,417,75.0
436 Top 2.2%,Vienna University of Technology,Austria,4,421,548,-,423,75.0
437 Top 2.2%,University of Twente,Netherlands,12,-,1110,-,416,75.0
438 Top 2.2%,University of Chile,Chile,2,-,690,-,422,75.0
439 Top 2.2%,Wuhan University of Technology,China,57,-,960,-,421,74.9
440 Top 2.2%,University of Clermont Auvergne,France,24,-,-,-,418,74.9
441 Top 2.2%,Thomas Jefferson University,USA,117,-,-,-,419,74.9
442 Top 2.2%,Texas Tech University,USA,118,-,540,-,427,74.9
443 Top 2.2%,University of Bath,United Kingdom,34,-,579,-,428,74.9
444 Top 2.2%,Pusan National University,South Korea,11,-,323,-,437,74.9
445 Top 2.2%,Nanjing University of Aeronautics and Astronautics,China,58,-,1163,-,424,74.9
446 Top 2.2%,"Northeastern University, China",China,59,-,450,-,433,74.9
447 Top 2.2%,Chonnam National University,South Korea,12,-,1239,-,425,74.9
448 Top 2.2%,University of Mississippi,USA,119,-,-,-,426,74.8
449 Top 2.2%,Kobe University,Japan,12,146,415,-,459,74.8
450 Top 2.2%,Stellenbosch University,South Africa,3,-,210,-,462,74.8
451 Top 2.2%,York University,Canada,18,-,329,-,444,74.8
452 Top 2.3%,Indiana University – Purdue University Indianapolis,USA,120,-,822,-,429,74.8
453 Top 2.3%,Amherst College,USA,121,21,46,-,-,74.8
454 Top 2.3%,Tulane University,USA,122,213,328,-,457,74.8
455 Top 2.3%,Xidian University,China,60,356,1045,-,432,74.8
456 Top 2.3%,Vita-Salute San Raffaele University,Italy,18,-,-,-,430,74.7
457 Top 2.3%,University of Trento,Italy,19,-,-,-,431,74.7
458 Top 2.3%,Stockholm School of Economics,Sweden,11,-,19,269,1968,74.7
459 Top 2.3%,RMIT University,Australia,18,-,1035,-,436,74.7
460 Top 2.3%,Jiangsu University,China,61,-,1434,-,434,74.7
461 Top 2.3%,University of Oulu,Finland,5,-,634,-,440,74.7
462 Top 2.3%,Chulalongkorn University,Thailand,1,-,108,-,544,74.7
463 Top 2.3%,Saint Louis University,USA,123,-,361,190,547,74.7
464 Top 2.3%,Kansas State University,USA,124,355,511,-,446,74.7
465 Top 2.3%,Hiroshima University,Japan,13,-,903,-,438,74.6
466 Top 2.3%,University of Alabama - Tuscaloosa,USA,125,429,221,-,479,74.6
467 Top 2.3%,Federal University of Rio Grande do Sul,Brazil,5,-,1486,-,439,74.6
468 Top 2.3%,Martin Luther University Halle-Wittenberg,Germany,32,449,-,256,472,74.6
469 Top 2.3%,University of Trieste,Italy,20,-,999,-,441,74.6
470 Top 2.3%,University of Navarra,Spain,11,-,125,259,574,74.6
471 Top 2.3%,La Trobe University,Australia,19,-,1135,-,442,74.6
472 Top 2.3%,Fuzhou University,China,62,-,750,-,443,74.6
473 Top 2.4%,Syracuse University,USA,126,172,160,-,525,74.6
474 Top 2.4%,George Mason University,USA,127,-,1525,242,499,74.5
475 Top 2.4%,University of Vermont,USA,128,-,455,-,456,74.5
476 Top 2.4%,Western Sydney University,Australia,20,-,1438,-,445,74.5
477 Top 2.4%,Medical College of Wisconsin,USA,129,-,-,-,447,74.5
478 Top 2.4%,University of KwaZulu-Natal,South Africa,4,500,360,-,469,74.5
479 Top 2.4%,Florida International University,USA,130,-,1480,-,448,74.5
480 Top 2.4%,University of Central Florida,USA,131,-,976,-,451,74.5
481 Top 2.4%,University of Eastern Finland,Finland,6,-,-,-,450,74.5
482 Top 2.4%,University of Catania,Italy,21,379,1675,-,454,74.5
483 Top 2.4%,University of Louisville,USA,132,-,833,-,455,74.5
484 Top 2.4%,University of Surrey,United Kingdom,35,221,495,-,474,74.4
485 Top 2.4%,Ulsan National Institute of Science and Technology,South Korea,13,-,-,-,453,74.4
486 Top 2.4%,University of Guelph,Canada,19,-,1057,-,458,74.4
487 Top 2.4%,University of Santiago de Compostela,Spain,12,-,895,-,461,74.4
488 Top 2.4%,Lehigh University,USA,133,110,62,-,789,74.4
489 Top 2.4%,Antioch College,USA,134,10,-,-,-,74.4
490 Top 2.4%,University of Tehran,Iran,2,452,-,-,463,74.4
491 Top 2.4%,University of Texas Health Science Center at San Antonio,USA,135,-,-,-,464,74.4
492 Top 2.4%,Southwest University,China,63,491,1477,-,465,74.4
493 Top 2.5%,University of Strathclyde,United Kingdom,36,-,376,-,486,74.3
494 Top 2.5%,Indian Institute of Science,India,2,329,884,-,473,74.3
495 Top 2.5%,James Cook University,Australia,21,-,1222,-,466,74.3
496 Top 2.5%,Novosibirsk State University,Russia,4,430,1512,-,468,74.3
497 Top 2.5%,Nanjing Tech University,China,64,-,1482,-,467,74.3
498 Top 2.5%,University of Stuttgart,Germany,33,127,370,-,535,74.3
499 Top 2.5%,Southern Medical University,China,65,-,-,-,470,74.3
500 Top 2.5%,Okayama University,Japan,14,349,742,-,480,74.3
501 Top 2.5%,West Virginia University,USA,136,-,377,-,496,74.3
502 Top 2.5%,Nanjing University of Information Science and Technology,China,66,-,-,-,471,74.2
503 Top 2.5%,Federal University of Minas Gerais,Brazil,6,-,561,-,484,74.2
504 Top 2.5%,University of Ferrara,Italy,22,-,-,-,475,74.2
505 Top 2.5%,University of Hawaii at Manoa,USA,137,401,1310,-,478,74.2
506 Top 2.5%,Technical University of Darmstadt,Germany,34,354,487,-,495,74.2
507 Top 2.5%,University of Siena,Italy,23,-,1456,-,476,74.2
508 Top 2.5%,Leibniz University Hannover,Germany,35,-,679,-,483,74.2
509 Top 2.5%,University of Potsdam,Germany,36,-,-,-,477,74.2
510 Top 2.5%,Moscow Institute of Physics and Technology,Russia,5,179,620,278,521,74.2
511 Top 2.5%,University of Zaragoza,Spain,13,502,1131,-,481,74.2
512 Top 2.5%,Baylor University,USA,138,-,433,-,503,74.1
513 Top 2.5%,University of Tennessee Health Science Center,USA,139,-,-,-,485,74.1
514 Top 2.6%,"China Medical University, Taiwan",Taiwan,5,-,-,-,487,74.1
515 Top 2.6%,Jiangnan University,China,67,-,1483,-,488,74.1
516 Top 2.6%,Rush University,USA,140,-,-,-,489,74.1
517 Top 2.6%,Eötvös Loránd University,Hungary,1,224,-,238,564,74.1
518 Top 2.6%,University of Rostock,Germany,37,440,-,-,491,74.1
519 Top 2.6%,NOVA University of Lisbon,Portugal,4,-,-,-,490,74.1
520 Top 2.6%,Cairo University,Egypt,1,-,1078,-,494,74.1
521 Top 2.6%,Polytechnic University of Valencia,Spain,14,-,1405,-,492,74.1
522 Top 2.6%,École normale supérieure de Lyon,France,25,409,-,275,518,74.0
523 Top 2.6%,Mayo Clinic College of Medicine and Science,USA,141,-,-,-,493,74.0
524 Top 2.6%,Technical University of Dortmund,Germany,38,-,-,-,497,74.0
525 Top 2.6%,University of Tromsø – The Arctic University of Norway,Norway,4,-,1581,-,498,74.0
526 Top 2.6%,University of Modena and Reggio Emilia,Italy,24,-,905,-,502,74.0
527 Top 2.6%,University of South Australia,Australia,22,-,477,-,514,74.0
528 Top 2.6%,University of Zagreb,Croatia,1,-,1421,-,500,74.0
529 Top 2.6%,University of Tartu,Estonia,1,477,-,-,501,74.0
530 Top 2.6%,Flinders University,Australia,23,487,-,-,504,74.0
531 Top 2.6%,University of Colorado Denver,USA,142,-,-,-,505,74.0
532 Top 2.6%,Polytechnic University of Madrid,Spain,15,514,574,-,512,73.9
533 Top 2.6%,University of Hull,United Kingdom,37,170,337,137,731,73.9
534 Top 2.7%,University College Cork,Ireland,3,-,649,-,510,73.9
535 Top 2.7%,Georgia State University,USA,143,-,825,-,506,73.9
536 Top 2.7%,Boston College,USA,144,-,112,-,621,73.9
537 Top 2.7%,Rovira i Virgili University,Spain,16,-,1357,-,507,73.9
538 Top 2.7%,Beijing Jiaotong University,China,68,-,1328,-,508,73.9
539 Top 2.7%,Carleton University,Canada,20,-,1388,-,509,73.9
540 Top 2.7%,University of Oviedo,Spain,17,-,924,-,511,73.9
541 Top 2.7%,North China Electric Power University,China,69,-,315,-,534,73.9
542 Top 2.7%,University of Verona,Italy,25,-,-,-,513,73.8
543 Top 2.7%,University of Konstanz,Germany,39,-,1537,210,594,73.8
544 Top 2.7%,Institut Agro,France,26,-,-,-,515,73.8
545 Top 2.7%,Joint Institute for Nuclear Research,Russia,6,-,-,-,516,73.8
546 Top 2.7%,Oklahoma State University,USA,145,-,483,-,524,73.8
547 Top 2.7%,Ocean University of China,China,70,-,1473,-,519,73.8
548 Top 2.7%,Mahidol University,Thailand,2,-,1653,-,520,73.8
549 Top 2.7%,Scuola Normale Superiore di Pisa,Italy,26,101,-,245,639,73.8
550 Top 2.7%,University of Bremen,Germany,40,-,-,-,522,73.8
551 Top 2.7%,Qingdao University,China,71,-,-,-,523,73.8
552 Top 2.7%,"Royal Holloway, University of London",United Kingdom,38,416,1107,223,600,73.7
553 Top 2.7%,University of Arkansas - Fayetteville,USA,146,267,335,-,561,73.7
554 Top 2.7%,Indian Institute of Technology Bombay,India,3,-,280,-,562,73.7
555 Top 2.8%,Colorado School of Mines,USA,147,-,75,-,745,73.7
556 Top 2.8%,Auburn University,USA,148,-,257,-,566,73.7
557 Top 2.8%,University of Pretoria,South Africa,5,-,707,-,533,73.7
558 Top 2.8%,Nanjing Normal University,China,72,-,982,-,527,73.7
559 Top 2.8%,Bar-Ilan University,Israel,6,-,599,-,539,73.7
560 Top 2.8%,Masaryk University,Czech Republic,2,-,-,-,526,73.7
561 Top 2.8%,Hefei University of Technology,China,73,-,937,-,528,73.7
562 Top 2.8%,University of Macau,China,74,-,628,-,541,73.7
563 Top 2.8%,University of Canterbury,New Zealand,3,370,456,248,593,73.6
564 Top 2.8%,Saint Petersburg University,Russia,7,165,422,-,576,73.6
565 Top 2.8%,Nanchang University,China,75,-,1025,-,532,73.6
566 Top 2.8%,Guangdong University of Technology,China,76,-,1431,-,529,73.6
567 Top 2.8%,Savoie Mont Blanc University,France,27,-,-,-,531,73.6
568 Top 2.8%,Central China Normal University,China,77,-,1203,-,536,73.6
569 Top 2.8%,Medical University of Graz,Austria,5,-,-,-,537,73.6
570 Top 2.8%,Indian Institute of Technology Madras,India,4,-,174,-,603,73.6
571 Top 2.8%,Zhejiang University of Technology,China,78,-,1139,-,540,73.6
572 Top 2.8%,Swansea University,United Kingdom,39,-,1339,-,538,73.6
573 Top 2.8%,Renmin University of China,China,79,-,82,-,725,73.5
574 Top 2.8%,Medical University of Innsbruck,Austria,6,-,-,-,542,73.5
575 Top 2.9%,Bocconi University,Italy,27,-,48,265,1019,73.5
576 Top 2.9%,Clemson University,USA,149,-,919,-,543,73.5
577 Top 2.9%,China University of Geosciences (Wuhan),China,80,-,658,-,552,73.5
578 Top 2.9%,National Technical University of Athens,Greece,3,544,787,-,548,73.5
579 Top 2.9%,Yangzhou University,China,81,-,1689,-,545,73.5
580 Top 2.9%,Tata Institute of Fundamental Research,India,5,-,-,-,546,73.5
581 Top 2.9%,Polytechnic University of Turin,Italy,28,-,896,-,551,73.5
582 Top 2.9%,Federal University of São Paulo,Brazil,7,-,-,-,549,73.5
583 Top 2.9%,University of Aveiro,Portugal,5,-,-,-,550,73.5
584 Top 2.9%,Brunel University London,United Kingdom,40,-,646,-,563,73.4
585 Top 2.9%,University of Jyväskylä,Finland,7,-,1590,-,553,73.4
586 Top 2.9%,Chiba University,Japan,15,-,-,-,554,73.4
587 Top 2.9%,Swinburne University of Technology,Australia,24,-,-,-,555,73.4
588 Top 2.9%,Hitotsubashi University,Japan,16,-,20,-,-,73.4
589 Top 2.9%,Donghua University,China,82,-,1137,-,557,73.4
590 Top 2.9%,Chang Gung University,Taiwan,6,-,-,-,556,73.4
591 Top 2.9%,Palacký University Olomouc,Czech Republic,3,-,-,-,559,73.4
592 Top 2.9%,University of Palermo,Italy,29,-,-,-,560,73.4
593 Top 2.9%,Osaka Metropolitan University,Japan,17,298,435,-,582,73.4
594 Top 2.9%,University of Graz,Austria,7,451,1303,162,724,73.4
595 Top 2.9%,University of Minho,Portugal,6,-,-,-,565,73.3
596 Top 3%,Southwest Jiaotong University,China,83,-,888,-,570,73.3
597 Top 3%,Gustave Eiffel University,France,28,532,-,-,567,73.3
598 Top 3%,San Diego State University,USA,150,315,445,-,586,73.3
599 Top 3%,Tianjin Medical University,China,84,-,-,-,568,73.3
600 Top 3%,Ewha Womans University,South Korea,14,-,-,-,569,73.3
601 Top 3%,University of Sherbrooke,Canada,21,-,1020,-,571,73.3
602 Top 3%,AGH University of Science and Technology,Poland,3,-,955,-,573,73.3
603 Top 3%,University of Iceland,Iceland,1,-,-,-,572,73.3
604 Top 3%,University of Salerno,Italy,30,-,1509,-,575,73.3
605 Top 3%,Rensselaer Polytechnic Institute,USA,151,446,153,-,672,73.3
606 Top 3%,University of Texas at Arlington,USA,152,-,796,-,579,73.2
607 Top 3%,Indian Institute of Technology Delhi,India,6,-,124,-,699,73.2
608 Top 3%,Beijing University of Technology,China,85,-,-,-,577,73.2
609 Top 3%,University of Brescia,Italy,31,-,-,-,578,73.2
610 Top 3%,University of Nebraska Medical Center,USA,153,-,-,-,580,73.2
611 Top 3%,Tehran University of Medical Sciences,Iran,3,-,-,-,581,73.2
612 Top 3%,Illinois Institute of Technology,USA,154,57,183,-,853,73.2
613 Top 3%,Naval Medical University,China,86,-,-,-,583,73.2
614 Top 3%,University of St.Gallen,Switzerland,9,-,28,-,1561,73.2
615 Top 3%,National University of Defense Technology,China,87,-,1166,-,584,73.2
616 Top 3.1%,National Central University,Taiwan,7,-,-,-,585,73.2
617 Top 3.1%,National Research Nuclear University MEPhI,Russia,8,456,-,-,587,73.1
618 Top 3.1%,Brigham Young University,USA,155,322,759,-,591,73.1
619 Top 3.1%,University of Wisconsin–Milwaukee,USA,156,286,507,-,602,73.1
620 Top 3.1%,Concordia University,Canada,22,546,352,-,613,73.1
621 Top 3.1%,University of Delhi,India,7,540,217,-,648,73.1
622 Top 3.1%,Guangzhou Medical University,China,88,-,-,-,588,73.1
623 Top 3.1%,University of Burgundy,France,29,178,-,-,609,73.1
624 Top 3.1%,Utah State University,USA,157,362,1007,-,592,73.1
625 Top 3.1%,Chung-Ang University,South Korea,15,-,1161,-,590,73.1
626 Top 3.1%,University of Cagliari,Italy,32,-,-,-,589,73.1
627 Top 3.1%,Middle East Technical University,Turkey,1,-,319,-,632,73.1
628 Top 3.1%,University of Johannesburg,South Africa,6,-,1086,-,595,73.1
629 Top 3.1%,South China Normal University,China,89,-,1193,-,596,73.0
630 Top 3.1%,"Institute of Cancer Research, University of London",United Kingdom,41,240,-,-,608,73.0
631 Top 3.1%,Jeonbuk National University,South Korea,16,-,-,-,597,73.0
632 Top 3.1%,Catholic University of Korea,South Korea,17,-,-,-,598,73.0
633 Top 3.1%,University of Caen Normandy,France,30,-,-,-,599,73.0
634 Top 3.1%,Swarthmore College,USA,158,18,286,-,-,73.0
635 Top 3.1%,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,9,43,-,227,1079,73.0
636 Top 3.1%,Hohai University,China,90,-,1256,-,601,73.0
637 Top 3.2%,Czech Technical University in Prague,Czech Republic,4,407,-,-,607,73.0
638 Top 3.2%,Hacettepe University,Turkey,2,-,-,-,604,73.0
639 Top 3.2%,University of Eastern Piedmont,Italy,33,-,-,-,605,73.0
640 Top 3.2%,University of Udine,Italy,34,-,1583,-,606,72.9
641 Top 3.2%,University of Québec at Montreal,Canada,23,-,967,-,610,72.9
642 Top 3.2%,College of William & Mary,USA,159,-,101,-,782,72.9
643 Top 3.2%,Konkuk University,South Korea,18,-,1146,-,611,72.9
644 Top 3.2%,Loughborough University,United Kingdom,42,-,1598,279,627,72.9
645 Top 3.2%,"St George's, University of London",United Kingdom,43,-,-,-,612,72.9
646 Top 3.2%,South China Agricultural University,China,91,-,1696,-,614,72.9
647 Top 3.2%,University of La Laguna,Spain,18,-,-,-,615,72.9
648 Top 3.2%,Memorial University of Newfoundland,Canada,24,-,845,-,620,72.9
649 Top 3.2%,University of Cantabria,Spain,19,-,1591,-,616,72.9
650 Top 3.2%,Bielefeld University,Germany,41,458,1463,-,617,72.9
651 Top 3.2%,University of Bayreuth,Germany,42,-,1138,-,619,72.9
652 Top 3.2%,University of Campania Luigi Vanvitelli,Italy,35,-,-,-,618,72.8
653 Top 3.2%,University of Málaga,Spain,20,-,-,-,622,72.8
654 Top 3.2%,University of New Hampshire,USA,160,-,491,-,642,72.8
655 Top 3.2%,China University of Mining and Technology (Xuzhou),China,92,-,581,-,636,72.8
656 Top 3.2%,University of Texas at San Antonio,USA,161,-,-,-,623,72.8
657 Top 3.3%,King Fahd University of Petroleum and Minerals,Saudi Arabia,4,-,107,-,792,72.8
658 Top 3.3%,Shaanxi Normal University,China,93,-,-,-,624,72.8
659 Top 3.3%,"Northwest University, Xi'an",China,94,-,1169,-,625,72.8
660 Top 3.3%,University of Haifa,Israel,7,-,959,-,628,72.8
661 Top 3.3%,Comenius University in Bratislava,Slovak Republic,1,-,-,-,626,72.8
662 Top 3.3%,"China University of Geosciences, Beijing",China,95,-,1582,-,629,72.8
663 Top 3.3%,National Polytechnic Institute,Mexico,2,-,-,-,630,72.8
664 Top 3.3%,CINVESTAV,Mexico,3,-,-,-,631,72.7
665 Top 3.3%,Ankara University,Turkey,3,-,858,-,635,72.7
666 Top 3.3%,Sharif University of Technology,Iran,4,420,-,-,633,72.7
667 Top 3.3%,University of Kent,United Kingdom,44,-,913,-,640,72.7
668 Top 3.3%,University of Galway,Ireland,4,242,1603,-,653,72.7
669 Top 3.3%,Semmelweis University,Hungary,2,-,-,-,634,72.7
670 Top 3.3%,Henryk Niewodniczański Institute of Nuclear Physics,Poland,4,-,-,-,637,72.7
671 Top 3.3%,"University of Nevada, Reno",USA,162,-,1241,-,638,72.7
672 Top 3.3%,Army Medical University,China,96,-,-,-,641,72.7
673 Top 3.3%,ShanghaiTech University,China,97,-,-,-,643,72.7
674 Top 3.3%,Tilburg University,Netherlands,13,-,398,-,667,72.7
675 Top 3.3%,Hong Kong Baptist University,China,98,-,1566,-,644,72.7
676 Top 3.3%,Sejong University,South Korea,19,-,-,-,645,72.6
677 Top 3.3%,Nanjing University of Posts and Telecommunications,China,99,-,743,-,654,72.6
678 Top 3.4%,Boğaziçi University,Turkey,4,-,467,-,664,72.6
679 Top 3.4%,University of Plymouth,United Kingdom,45,-,1640,-,646,72.6
680 Top 3.4%,Wenzhou Medical University,China,100,-,-,-,647,72.6
681 Top 3.4%,University of Fribourg,Switzerland,10,-,287,-,691,72.6
682 Top 3.4%,University of Angers,France,31,-,-,-,649,72.6
683 Top 3.4%,National University of La Plata,Argentina,2,-,1575,-,651,72.6
684 Top 3.4%,University of Oklahoma Health Sciences Center,USA,163,-,-,-,650,72.6
685 Top 3.4%,Northeast Normal University,China,101,-,1464,-,652,72.6
686 Top 3.4%,Taipei Medical University,Taiwan,8,-,-,-,655,72.6
687 Top 3.4%,Istanbul University,Turkey,5,472,1154,-,656,72.6
688 Top 3.4%,Beijing University of Posts and Telecommunications,China,102,-,504,-,671,72.6
689 Top 3.4%,Yokohama City University,Japan,18,-,190,-,730,72.5
690 Top 3.4%,University of Maine,USA,164,338,1214,125,905,72.5
691 Top 3.4%,University of Wyoming,USA,165,-,834,-,660,72.5
692 Top 3.4%,COMSATS University Islamabad,Pakistan,1,-,-,-,657,72.5
693 Top 3.4%,Shanxi University,China,103,-,1657,-,658,72.5
694 Top 3.4%,Institut national des sciences appliquées de Lyon,France,32,-,1232,-,659,72.5
695 Top 3.4%,Sciences Po,France,33,-,61,68,-,72.5
696 Top 3.4%,Rio de Janeiro State University,Brazil,8,-,1257,-,661,72.5
697 Top 3.4%,University of North Texas,USA,166,-,748,-,670,72.5
698 Top 3.4%,Oswaldo Cruz Foundation,Brazil,9,-,-,-,662,72.5
699 Top 3.5%,Tokyo Medical and Dental University,Japan,19,-,-,-,665,72.5
700 Top 3.5%,Heriot-Watt University,United Kingdom,46,-,531,-,683,72.5
701 Top 3.5%,Binghamton University,USA,167,310,325,158,919,72.4
702 Top 3.5%,Haverford College,USA,168,20,915,-,-,72.4
703 Top 3.5%,Harbin Medical University,China,104,-,-,-,666,72.4
704 Top 3.5%,Victoria University of Wellington,New Zealand,4,389,864,-,674,72.4
705 Top 3.5%,Guangxi University,China,105,-,-,-,668,72.4
706 Top 3.5%,Chungnam National University,South Korea,20,-,1492,-,669,72.4
707 Top 3.5%,Cold Spring Harbor Laboratory,USA,169,-,-,102,959,72.4
708 Top 3.5%,University of Szeged,Hungary,3,453,-,197,802,72.4
709 Top 3.5%,Shinshu University,Japan,20,-,1559,-,673,72.4
710 Top 3.5%,University of Poitiers,France,34,342,-,-,677,72.4
711 Top 3.5%,Massey University,New Zealand,5,-,910,-,676,72.4
712 Top 3.5%,Roma Tre University,Italy,36,-,-,-,675,72.4
713 Top 3.5%,Loyola University Chicago,USA,170,364,1031,-,682,72.4
714 Top 3.5%,American University of Beirut,Lebanon,1,159,213,-,768,72.3
715 Top 3.5%,Inha University,South Korea,21,-,783,-,684,72.3
716 Top 3.5%,University of Jinan,China,106,-,1410,-,679,72.3
717 Top 3.5%,University of Texas Medical Branch,USA,171,-,-,-,678,72.3
718 Top 3.5%,Federal University of Santa Catarina,Brazil,10,-,1343,-,681,72.3
719 Top 3.6%,"University of Natural Resources and Life Sciences, Vienna",Austria,8,-,-,-,680,72.3
720 Top 3.6%,University of Missouri-Kansas City,USA,172,543,557,-,694,72.3
721 Top 3.6%,Indian Institute of Technology Kharagpur,India,8,-,466,-,702,72.3
722 Top 3.6%,Shandong University of Science and Technology,China,107,-,809,-,688,72.3
723 Top 3.6%,Warsaw University of Technology,Poland,5,347,946,-,690,72.3
724 Top 3.6%,University of Salamanca,Spain,21,-,890,-,687,72.3
725 Top 3.6%,Central Party School of the Communist Party of China,China,108,-,21,-,-,72.3
726 Top 3.6%,Mississippi State University,USA,173,323,427,-,710,72.3
727 Top 3.6%,"China Medical University, PRC",China,109,-,-,-,685,72.2
728 Top 3.6%,Vilnius University,Lithuania,1,-,-,-,686,72.2
729 Top 3.6%,Otto von Guericke University Magdeburg,Germany,43,-,1558,-,689,72.2
730 Top 3.6%,Kanazawa University,Japan,21,-,632,-,698,72.2
731 Top 3.6%,University of Calabria,Italy,37,-,-,-,692,72.2
732 Top 3.6%,University of Massachusetts Boston,USA,174,-,1293,192,837,72.2
733 Top 3.6%,Montana State University - Bozeman,USA,175,-,1428,-,693,72.2
734 Top 3.6%,Air Force Medical University,China,110,-,-,-,695,72.2
735 Top 3.6%,Istanbul Technical University,Turkey,6,-,908,-,703,72.2
736 Top 3.6%,University of Ioannina,Greece,4,-,-,-,696,72.2
737 Top 3.6%,Yeungnam University,South Korea,22,-,448,-,717,72.2
738 Top 3.6%,National Chung Hsing University,Taiwan,9,-,229,-,758,72.2
739 Top 3.6%,Chongqing Medical University,China,111,-,-,-,700,72.2
740 Top 3.7%,Beijing Forestry University,China,112,-,-,-,701,72.1
741 Top 3.7%,Henan University,China,113,-,-,-,704,72.1
742 Top 3.7%,Saarland University,Germany,44,-,493,-,716,72.1
743 Top 3.7%,Quaid-i-Azam University,Pakistan,2,-,-,-,705,72.1
744 Top 3.7%,Isfahan University of Technology,Iran,5,-,-,-,706,72.1
