World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
87 Top 0.5%,Weizmann Institute of Science,Israel,2,24,-,51,289,82.4
88 Top 0.5%,Leiden University,Netherlands,3,124,1068,77,100,82.4
89 Top 0.5%,Fudan University,China,6,353,93,-,59,82.3
90 Top 0.5%,Boston University,USA,46,428,111,200,80,82.3
91 Top 0.5%,University of Rochester,USA,47,65,70,132,185,82.2
92 Top 0.5%,University of Sydney,Australia,2,198,627,-,36,82.2
93 Top 0.5%,University of Bristol,United Kingdom,9,186,430,78,99,82.1
94 Top 0.5%,Erasmus University Rotterdam,Netherlands,4,535,68,270,89,82.1
95 Top 0.5%,University of Arizona,USA,48,498,237,73,107,82.1
96 Top 0.5%,École Polytechnique Fédérale de Lausanne,Switzerland,3,-,83,112,124,82.0
97 Top 0.5%,University of Göttingen,Germany,6,44,369,104,162,82.0
98 Top 0.5%,"University of California, Santa Barbara",USA,49,211,535,21,156,81.9
99 Top 0.5%,Carnegie Mellon University,USA,50,70,113,40,223,81.9
100 Top 0.5%,Osaka University,Japan,3,145,74,124,147,81.8
101 Top 0.5%,Aarhus University,Denmark,2,228,296,134,87,81.8
102 Top 0.5%,National Taiwan University,Taiwan,1,336,41,-,134,81.8
103 Top 0.6%,Keio University,Japan,4,519,13,-,397,81.7
104 Top 0.6%,University of New South Wales,Australia,3,551,120,-,64,81.7
105 Top 0.6%,University of Queensland,Australia,4,419,669,243,47,81.6
106 Top 0.6%,University of Groningen,Netherlands,5,271,586,140,81,81.6
107 Top 0.6%,KU Leuven,Belgium,1,537,414,249,50,81.6
108 Top 0.6%,University of Leeds,United Kingdom,10,132,458,53,139,81.5
109 Top 0.6%,University of São Paulo,Brazil,1,497,381,156,78,81.5
110 Top 0.6%,University of Geneva,Switzerland,4,72,480,103,132,81.4
111 Top 0.6%,University of Basel,Switzerland,5,60,305,82,164,81.4
112 Top 0.6%,University of Texas MD Anderson Cancer Center,USA,51,-,-,88,98,81.4
113 Top 0.6%,University of Tübingen,Germany,7,52,926,99,154,81.3
114 Top 0.6%,Indiana University Bloomington,USA,52,251,94,178,119,81.3
115 Top 0.6%,University of Bonn,Germany,8,73,494,86,145,81.2
116 Top 0.6%,Sapienza University of Rome,Italy,1,455,502,101,106,81.2
117 Top 0.6%,University of Utah,USA,53,302,202,135,111,81.2
118 Top 0.6%,Nagoya University,Japan,5,67,211,59,210,81.1
119 Top 0.6%,University of Science and Technology of China,China,7,-,261,-,58,81.1
120 Top 0.6%,INSEAD,France,6,-,2,-,1710,81.1
121 Top 0.6%,Monash University,Australia,5,-,532,-,51,81.0
122 Top 0.6%,University of Montreal,Canada,5,461,517,126,101,81.0
123 Top 0.6%,Sun Yat-sen University,China,8,-,334,-,61,80.9
124 Top 0.7%,Ghent University,Belgium,2,345,558,196,86,80.9
125 Top 0.7%,University of Southampton,United Kingdom,11,454,293,115,117,80.9
126 Top 0.7%,University of Helsinki,Finland,1,200,788,164,93,80.8
127 Top 0.7%,Huazhong University of Science and Technology,China,9,-,167,-,73,80.8
128 Top 0.7%,Australian National University,Australia,6,171,518,80,140,80.8
129 Top 0.7%,University of Glasgow,United Kingdom,12,133,397,141,123,80.7
130 Top 0.7%,University of Freiburg,Germany,9,91,230,100,166,80.7
131 Top 0.7%,Emory University,USA,54,469,270,-,70,80.7
132 Top 0.7%,Baylor College of Medicine,USA,55,93,-,159,126,80.6
133 Top 0.7%,Nanyang Technological University,Singapore,2,-,829,-,66,80.6
134 Top 0.7%,University of Barcelona,Spain,1,-,631,-,67,80.6
135 Top 0.7%,University of Strasbourg,France,7,118,1377,49,209,80.5
136 Top 0.7%,University of Liverpool,United Kingdom,13,151,522,97,151,80.5
137 Top 0.7%,University of Bern,Switzerland,6,155,1113,160,121,80.5
138 Top 0.7%,Goethe University Frankfurt,Germany,10,190,790,43,205,80.4
139 Top 0.7%,University of Nottingham,United Kingdom,14,193,553,106,144,80.4
140 Top 0.7%,KTH Royal Institute of Technology,Sweden,3,236,51,187,238,80.4
141 Top 0.7%,Lund University,Sweden,4,196,460,260,96,80.3
142 Top 0.7%,Case Western Reserve University,USA,56,69,297,182,170,80.3
143 Top 0.7%,Tohoku University,Japan,6,139,151,155,175,80.3
144 Top 0.8%,University of Colorado Anschutz Medical Campus,USA,57,-,-,95,150,80.3
145 Top 0.8%,University of Iowa,USA,58,104,268,186,149,80.2
146 Top 0.8%,Stockholm University,Sweden,5,166,226,94,183,80.2
147 Top 0.8%,Nanjing University,China,10,484,353,-,90,80.2
148 Top 0.8%,VU Amsterdam,Netherlands,6,-,1255,-,84,80.1
149 Top 0.8%,Grenoble Alpes University,France,8,308,1067,240,104,80.1
150 Top 0.8%,University of Western Australia,Australia,7,241,552,199,128,80.1
151 Top 0.8%,Michigan State University,USA,59,202,195,-,113,80.0
152 Top 0.8%,University of Sheffield,United Kingdom,15,197,655,151,146,80.0
153 Top 0.8%,Tufts University,USA,60,86,69,165,271,80.0
154 Top 0.8%,Tel Aviv University,Israel,3,398,130,-,122,80.0
155 Top 0.8%,Queen Mary University of London,United Kingdom,16,115,699,145,172,79.9
156 Top 0.8%,Cardiff University,United Kingdom,17,404,365,90,187,79.9
157 Top 0.8%,Aix-Marseille University,France,9,518,929,-,92,79.9
158 Top 0.8%,University of Hong Kong,China,11,-,170,-,120,79.8
159 Top 0.8%,Korea University,South Korea,2,-,76,-,171,79.8
160 Top 0.8%,Yonsei University,South Korea,3,-,106,-,141,79.8
161 Top 0.8%,Radboud University,Netherlands,7,464,693,282,102,79.8
162 Top 0.8%,Newcastle University,United Kingdom,18,489,596,91,191,79.7
163 Top 0.8%,Xi'an Jiaotong University,China,12,-,158,-,133,79.7
164 Top 0.8%,Icahn School of Medicine at Mount Sinai,USA,61,-,-,-,108,79.7
165 Top 0.9%,Tokyo Institute of Technology,Japan,7,330,105,74,282,79.6
166 Top 0.9%,University of Montpellier,France,10,479,1263,-,109,79.6
167 Top 0.9%,Rice University,USA,62,105,122,119,269,79.6
168 Top 0.9%,University of Gothenburg,Sweden,6,442,407,146,176,79.6
169 Top 0.9%,University of Massachusetts Amherst,USA,63,496,276,76,226,79.5
170 Top 0.9%,Wuhan University,China,13,-,349,-,116,79.5
171 Top 0.9%,University of Padova,Italy,2,466,1474,-,112,79.5
172 Top 0.9%,University of Hamburg,Germany,11,248,546,-,118,79.5
173 Top 0.9%,Chinese University of Hong Kong,China,14,413,1337,250,130,79.4
174 Top 0.9%,McMaster University,Canada,6,438,812,230,142,79.4
175 Top 0.9%,Tianjin University,China,15,-,146,-,148,79.4
176 Top 0.9%,Technion – Israel Institute of Technology,Israel,4,125,457,69,266,79.4
177 Top 0.9%,University of Warwick,United Kingdom,19,504,182,231,174,79.3
