tuition_in_state_usd,tuition_out_of_state_usd,admission_rate,sat_average,act_midpoint,name,city,state,country,source
,,,,,Adler University,Chicago,IL,United States,collegescorecard.ed.gov
7650.0,7650.0,1.0,,,American Islamic College,Chicago,IL,United States,collegescorecard.ed.gov
56420.0,56420.0,0.7747,,,School of the Art Institute of Chicago,Chicago,IL,United States,collegescorecard.ed.gov
51598.0,51598.0,0.6268,1165.0,,Augustana College,Rock Island,IL,United States,collegescorecard.ed.gov
29170.0,29170.0,0.8085,1076.0,22.0,Aurora University,Aurora,IL,United States,collegescorecard.ed.gov
3960.0,6720.0,,,,Southwestern Illinois College,Belleville,IL,United States,collegescorecard.ed.gov
,,,,,Bethany Theological Seminary,Richmond,IN,United States,collegescorecard.ed.gov
4920.0,8100.0,,,,Black Hawk College,Moline,IL,United States,collegescorecard.ed.gov
28149.0,28149.0,0.6319,,20.0,Blackburn College,Carlinville,IL,United States,collegescorecard.ed.gov
,,,,,Blessing Rieman College of Nursing and Health Sciences,Quincy,IL,United States,collegescorecard.ed.gov
42160.0,42160.0,0.7676,,27.0,Bradley University,Peoria,IL,United States,collegescorecard.ed.gov
,,,,,Paul Mitchell the School-Tinley Park,Tinley Park,IL,United States,collegescorecard.ed.gov
,,,,,Cameo Beauty Academy,Oak Lawn,IL,United States,collegescorecard.ed.gov
,,,,,Cannella School of Hair Design-Villa Park,Villa Park,IL,United States,collegescorecard.ed.gov
,,,,,Cannella School of Hair Design-Chicago,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Capri Beauty College,Oak Forest,IL,United States,collegescorecard.ed.gov
5390.0,8900.0,,,,Carl Sandburg College,Galesburg,IL,United States,collegescorecard.ed.gov
,,,,,Catholic Theological Union at Chicago,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Midwestern University-Downers Grove,Downers Grove,IL,United States,collegescorecard.ed.gov
21780.0,21780.0,0.3448,,,The Chicago School at Chicago,Chicago,IL,United States,collegescorecard.ed.gov
12754.0,12754.0,0.4326,,,Chicago State University,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Chicago Theological Seminary,Chicago,IL,United States,collegescorecard.ed.gov
70662.0,70662.0,0.0448,1554.0,34.0,University of Chicago,Chicago,IL,United States,collegescorecard.ed.gov
4590.0,15150.0,,,,City Colleges of Chicago-Kennedy-King College,Chicago,IL,United States,collegescorecard.ed.gov
4590.0,15150.0,,,,City Colleges of Chicago-Malcolm X College,Chicago,IL,United States,collegescorecard.ed.gov
4590.0,15150.0,,,,City Colleges of Chicago-Olive-Harvey College,Chicago,IL,United States,collegescorecard.ed.gov
4590.0,15150.0,,,,City Colleges of Chicago-Harry S Truman College,Chicago,IL,United States,collegescorecard.ed.gov
4590.0,15150.0,,,,City Colleges of Chicago-Richard J Daley College,Chicago,IL,United States,collegescorecard.ed.gov
4590.0,15150.0,,,,City Colleges of Chicago-Harold Washington College,Chicago,IL,United States,collegescorecard.ed.gov
4590.0,15150.0,,,,City Colleges of Chicago-Wilbur Wright College,Chicago,IL,United States,collegescorecard.ed.gov
34088.0,34088.0,0.8946,,,Columbia College Chicago,Chicago,IL,United States,collegescorecard.ed.gov
37488.0,37488.0,0.9279,,,Concordia University-Chicago,River Forest,IL,United States,collegescorecard.ed.gov
4440.0,7440.0,,,,Danville Area Community College,Danville,IL,United States,collegescorecard.ed.gov
,,,,,Tricoci University of Beauty Culture,Urbana,IL,United States,collegescorecard.ed.gov
45999.0,45999.0,0.7589,1262.0,,DePaul University,Chicago,IL,United States,collegescorecard.ed.gov
,,,,,Cosmetology & Spa Academy,Crystal Lake,IL,United States,collegescorecard.ed.gov
4560.0,12750.0,,,,College of DuPage,Glen Ellyn,IL,United States,collegescorecard.ed.gov
25395.0,25395.0,,,,East-West University,Chicago,IL,United States,collegescorecard.ed.gov
13679.0,16217.0,0.6535,1000.0,20.0,Eastern Illinois University,Charleston,IL,United States,collegescorecard.ed.gov
3252.0,9516.0,,,,Elgin Community College,Elgin,IL,United States,collegescorecard.ed.gov
42955.0,42955.0,0.7364,1151.0,26.0,Elmhurst University,Elmhurst,IL,United States,collegescorecard.ed.gov
29096.0,29096.0,0.8499,,20.0,Eureka College,Eureka,IL,United States,collegescorecard.ed.gov
,,,,,First Institute of Travel Inc.,Crystal Lake,IL,United States,collegescorecard.ed.gov
17670.0,17670.0,0.7021,,,Fox College,Tinley Park,IL,United States,collegescorecard.ed.gov
,,,,,Garrett-Evangelical Theological Seminary,Evanston,IL,United States,collegescorecard.ed.gov
,,,,,Gem City College,Quincy,IL,United States,collegescorecard.ed.gov
12004.0,12004.0,0.4827,,19.0,Governors State University,University Park,IL,United States,collegescorecard.ed.gov
8417.0,8417.0,1.0,,,Graham Hospital School of Nursing,Canton,IL,United States,collegescorecard.ed.gov
32200.0,32200.0,0.975,1038.0,18.0,Greenville University,Greenville,IL,United States,collegescorecard.ed.gov
,,,,,G Skin & Beauty Institute,Schaumburg,IL,United States,collegescorecard.ed.gov
,,,,,Hair Professionals Career College,Sycamore,IL,United States,collegescorecard.ed.gov
,,,,,Hair Professionals School of Cosmetology,Oswego,IL,United States,collegescorecard.ed.gov
15150.0,15150.0,0.5714,,,Hebrew Theological College,Skokie,IL,United States,collegescorecard.ed.gov
4936.0,7360.0,,,,Highland Community College,Freeport,IL,United States,collegescorecard.ed.gov
,,,,,Rosalind Franklin University of Medicine and Science,North Chicago,IL,United States,collegescorecard.ed.gov
14338.0,29884.0,0.7735,1250.0,27.0,University of Illinois Chicago,Chicago,IL,United States,collegescorecard.ed.gov
35940.0,35940.0,0.9523,,24.0,Benedictine University,Lisle,IL,United States,collegescorecard.ed.gov
